Paciente: ALEJO_NIMO, 23 años
Distancia Carótida-Femoral:	60 cm
Presión Sistólica Braquial:	120
Presión Diastólica Braquial:	80
Frecuencia de muestreo:		1000Hz

Sensor 1	Sensor 2	ECG
38274		6669		8261
38785		6641		8337
39277		6613		8407
39740		6586		8471
40171		6561		8530
40573		6535		8582
40942		6513		8630
41292		6491		8675
41642		6473		8724
42009		6457		8779
42381		6443		8837
42738		6432		8897
43079		6423		8956
43404		6419		9017
43713		6418		9080
44025		6422		9151
44353		6429		9229
44697		6440		9316
45036		6455		9408
45364		6475		9508
45673		6501		9610
45945		6529		9709
46193		6559		9806
46426		6596		9911
46653		6641		10028
46864		6694		10154
47065		6752		10286
47262		6817		10428
47451		6893		10586
47589		6982		10754
47661		7083		10926
47690		7196		11107
47689		7325		11306
47657		7474		11529
47600		7644		11777
47550		7837		12060
47505		8053		12382
47463		8298		12746
47406		8571		13151
47316		8879		13596
47197		9222		14087
47061		9603		14627
46918		10026		15225
46772		10488		15877
46623		10989		16582
46477		11525		17337
46352		12093		18141
46228		12687		18982
46069		13302		19834
45893		13934		20697
45717		14577		21569
45556		15227		22452
45419		15880		23344
45294		16534		24239
45180		17187		25132
45068		17836		26015
44952		18477		26882
44838		19110		27733
44732		19733		28569
44628		20346		29387
44534		20952		30200
44433		21552		30993
44320		22145		31765
44193		22732		32514
44047		23312		33233
43900		23885		33936
43759		24448		34625
43612		25006		35296
43459		25556		35945
43317		26096		36585
43194		26626		37223
43083		27145		37851
42971		27651		38456
42831		28150		39022
42672		28641		39555
42510		29125		40071
42351		29600		40572
42206		30067		41071
42065		30527		41561
41924		30982		42038
41792		31432		42516
41666		31878		42987
41523		32317		43431
41352		32752		43835
41156		33183		44200
40957		33608		44550
40779		34030		44913
40612		34449		45279
40437		34868		45634
40247		35288		45965
40039		35703		46266
39825		36117		46552
39616		36530		46838
39421		36940		47130
39250		37346		47442
39091		37749		47759
38927		38151		48065
38761		38552		48364
38595		38951		48654
38418		39345		48921
38231		39736		49167
38050		40124		49413
37871		40510		49652
37675		40891		49862
37474		41264		50048
37276		41630		50225
37072		41991		50382
36881		42348		50549
36711		42702		50737
36536		43053		50909
36360		43397		51069
36195		43734		51233
36043		44069		51407
35928		44401		51630
35826		44725		51859
35698		45040		52037
35553		45349		52181
35400		45651		52303
35259		45945		52430
35144		46228		52581
35054		46500		52756
34982		46765		52946
34918		47022		53140
34840		47274		53306
34736		47522		53425
34607		47763		53497
34466		47996		53539
34333		48224		53585
34204		48445		53630
34072		48658		53657
33944		48865		53683
33820		49064		53704
33696		49253		53714
33573		49434		53714
33443		49608		53695
33312		49776		53667
33187		49937		53638
33070		50091		53613
32956		50239		53587
32848		50381		53560
32737		50515		53522
32611		50644		53452
32477		50766		53360
32339		50883		53256
32201		50996		53147
32068		51105		53040
31941		51204		52933
31810		51296		52810
31665		51383		52659
31515		51464		52492
31372		51538		52329
31228		51603		52155
31083		51657		51967
30945		51705		51785
30813		51747		51606
30678		51785		51418
30528		51820		51200
30361		51849		50949
30180		51871		50667
29990		51888		50364
29792		51899		50043
29594		51906		49716
29387		51907		49370
29172		51904		49005
28957		51896		48637
28734		51886		48253
28510		51874		47865
28320		51860		47533
28164		51844		47257
28014		51825		46989
27857		51802		46704
27695		51776		46409
27538		51748		46122
27384		51719		45838
27230		51686		45551
27085		51651		45278
26962		51617		45042
26857		51582		44837
26767		51545		44654
26682		51507		44480
26594		51468		44299
26497		51427		44103
26411		51383		43921
26344		51335		43769
26282		51286		43624
26222		51234		43481
26173		51178		43353
